"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-155-2007-443-1 to 847","6/2/2016 2:42:29 PM","2007","7/1/2007","12/31/2007","847","The Climate Trust","12/24/2019 4:11:26 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR155","Truck Stop Electrification, South Carolina","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","South Carolina","SOUTH CAROLINA","US","No","No","No","","","","","","","View",
"ACR-US-154-2007-249-201201819 to 201202022","12/17/2007","2007","1/1/2007","12/31/2007","204","The Climate Trust","12/24/2019 4:10:56 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR154","Truck Stop Electrification, Pennsylvania","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Pennsylvania","PENNSYLVANIA","US","No","No","No","","","","","","","View",
"ACR-US-154-2007-447-1 to 5837","6/2/2016 2:42:41 PM","2007","7/1/2007","12/31/2007","5837","The Climate Trust","12/24/2019 4:10:21 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR154","Truck Stop Electrification, Pennsylvania","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Pennsylvania","PENNSYLVANIA","US","No","No","No","","","","","","","View",
"ACR-US-154-2007-249-201202023 to 201206022","12/17/2007","2007","1/1/2007","12/31/2007","4000","The Climate Trust","12/24/2019 4:09:51 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR154","Truck Stop Electrification, Pennsylvania","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Pennsylvania","PENNSYLVANIA","US","No","No","No","","","","","","","View",
"ACR-US-153-2007-451-1 to 967","6/2/2016 2:42:52 PM","2007","7/1/2007","12/31/2007","967","The Climate Trust","12/24/2019 4:09:04 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR153","Truck Stop Electrification, Oregon","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Oregon","OREGON","US","No","No","No","","","","","","","View",
"ACR-US-151-2007-459-4837 to 5236","6/2/2016 2:43:14 PM","2007","7/1/2007","12/31/2007","400","The Climate Trust","12/24/2019 4:08:19 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR151","Truck Stop Electrification, Ohio","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Ohio","OHIO","US","No","No","No","","","","","","","View",
"ACR-US-151-2007-459-2230 to 2336","6/2/2016 2:43:14 PM","2007","7/1/2007","12/31/2007","107","The Climate Trust","12/24/2019 4:07:41 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR151","Truck Stop Electrification, Ohio","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Ohio","OHIO","US","No","No","No","","","","","","","View",
"ACR-US-188-2011-369-3652 to 3655","12/30/2014 7:38:37 PM","2011","1/1/2011","12/31/2011","4","The Climate Trust","12/24/2019 4:06:54 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR188","Truck Stop Electrification, BEF","Transport / Fleet Efficiency","Truck Stop Electrification","Version 1.0","Various","TENNESSEE","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-131-2007-532-139 to 2321","6/2/2016 2:46:44 PM","2007","7/1/2007","12/31/2007","2183","The Climate Trust","12/24/2019 4:06:04 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Port Westward Project","ACR131","Truck Stop Electrification, Arizona","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Arizona","ARIZONA","US","No","No","No","","","","","","","View",
"ACR-US-151-2007-459-2337 to 4836","6/2/2016 2:43:14 PM","2007","7/1/2007","12/31/2007","2500","The Climate Trust","12/24/2019 4:03:53 PM","","On Behalf of Third Party","Retired under the OR CO2 standard on behalf of Avanrid-Klamath Expansion Project","ACR151","Truck Stop Electrification, Ohio","Transport / Fleet Efficiency","Emissions Reductions through Anti-Idling Technologies","Version 1.0","Ohio","OHIO","US","No","No","No","","","","","","","View",
"ACR-US-376-2018-864-14068 to 14092","7/3/2019 9:30:26 PM","2018","3/17/2017","9/15/2018","25","Anew Carbon Development, LLC","12/24/2019 12:22:59 AM","","On Behalf of Third Party","On behalf of the Town of West Springfield","ACR376","Anew - Massachusetts Tri-City Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-376-2018-864-29093 to 29392","7/3/2019 9:30:26 PM","2018","3/17/2017","9/15/2018","300","Anew Carbon Development, LLC","12/20/2019 4:00:44 PM","","On Behalf of Third Party","On behalf of The Nature Conservancy","ACR376","Anew - Massachusetts Tri-City Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2017-735-120001 to 120005","6/22/2018 11:22:39 PM","2017","1/1/2017","12/31/2017","5","Arbor Day Foundation","12/19/2019 5:47:35 PM","","On Behalf of Third Party","On Behalf of Thomas Gravely","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2016-736-98302 to 103301","6/22/2018 11:22:39 PM","2016","1/1/2016","12/31/2016","5000","3Degrees Group, Inc.","12/17/2019 8:58:47 PM","","On Behalf of Third Party","Transaction Reference 13129","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2013-385-476899 to 477218","5/1/2015 11:46:57 PM","2013","1/1/2013","12/31/2013","320","GreenTrees, LLC","12/16/2019 6:19:35 PM","","Other","on behalf of Winrock Board and executive team members","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-126-2015-681-261559 to 269433","10/4/2017 11:04:34 PM","2015","1/1/2015","12/31/2015","7875","Climate Impact Partners, LLC","12/9/2019 4:06:04 PM","","On Behalf of Third Party","PwC 2019 Carbon Offset Purchase","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-126-2015-681-156128 to 166127","10/4/2017 11:04:34 PM","2015","1/1/2015","12/31/2015","10000","Climate Impact Partners, LLC","12/9/2019 4:03:35 PM","","On Behalf of Third Party","PwC 2018 Carbon Offset Purchase","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-126-2015-681-176128 to 258928","10/4/2017 11:04:34 PM","2015","1/1/2015","12/31/2015","82801","Climate Impact Partners, LLC","12/9/2019 4:02:18 PM","","On Behalf of Third Party","PwC 2018 Carbon Offset Purchase","ACR126","Seneca Meadows LFG","Landfill Gas Capture & Combustion","Offset Project Methodology for Landfill Methane Collection and Combustion","Version 0","Waterloo","NEW YORK","US","No","No","No","","","","","09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action","","View",
"ACR-US-389-2018-718-165001 to 170000","5/3/2018 9:54:33 AM","2018","4/17/2017","8/31/2017","5000","The Climate Trust","12/4/2019 8:11:56 PM","","Retail Program Requirements","Retired on behalf of Puget Sound Energy's Carbon Balance Customers","ACR389","Winston Creek Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Morton, Washington","WASHINGTON","US","No","No","Yes","Yes","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2018-813-315 to 423","4/3/2019 9:54:19 PM","2018","6/30/2017","6/29/2018","109","Pachama Inc.","12/3/2019 8:47:47 PM","","On Behalf of Third Party","Offsets Georgette Packaging  - October 2019","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2018-813-296 to 314","4/3/2019 9:54:19 PM","2018","6/30/2017","6/29/2018","19","Pachama Inc.","12/3/2019 8:42:05 PM","","On Behalf of Third Party","Offsets By Humankind","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-272-2015-421-245803 to 245852","4/25/2016 10:21:34 PM","2015","1/1/2014","9/30/2015","50","The Climate Trust","11/19/2019 5:47:35 PM","","On Behalf of Third Party","Retired on behalf of LTA's 2019 Rally Staff","ACR272","Bear Creek Watershed Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.0","10 miles southeast of the city of Astoria","OREGON","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-5913 to 32098","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","26186","3Degrees Group, Inc.","11/15/2019 1:28:20 AM","","On Behalf of Third Party","Retired on behalf of Etsy, Inc.","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-68884 to 69945","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","1062","3Degrees Group, Inc.","11/11/2019 11:10:52 PM","","Environmental Benefit","Transaction Reference 13152","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-67551 to 68883","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","1333","3Degrees Group, Inc.","11/11/2019 11:08:17 PM","","Environmental Benefit","Transaction Reference 13151","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-5779 to 5912","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","134","3Degrees Group, Inc.","11/11/2019 8:23:24 PM","","Environmental Benefit","Transaction Reference 13156","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-5645 to 5778","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","134","3Degrees Group, Inc.","11/11/2019 8:22:55 PM","","Environmental Benefit","Transaction Reference 13155","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-5486 to 5644","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","159","3Degrees Group, Inc.","11/11/2019 8:22:24 PM","","Environmental Benefit","Transaction Reference 13152","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-65751 to 67550","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","1800","3Degrees Group, Inc.","11/11/2019 8:08:42 PM","","Environmental Benefit","Transaction Reference 13150","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-62792 to 65750","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","2959","3Degrees Group, Inc.","11/11/2019 8:07:51 PM","","Environmental Benefit","Transaction Reference 13148","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-376-2018-864-3668 to 6167","7/3/2019 9:30:26 PM","2018","3/17/2017","9/15/2018","2500","Schneider Electric","11/11/2019 5:52:04 PM","","On Behalf of Third Party","Retirement on behalf of Maple Leaf Foods Inc.","ACR376","Anew - Massachusetts Tri-City Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-368-2018-804-2668 to 5167","2/5/2019 7:15:55 AM","2018","9/26/2017","9/25/2018","2500","Anew Carbon Development, LLC","11/8/2019 6:33:46 PM","","On Behalf of Third Party","On Behalf of Cool Effect","ACR368","Anew - Middlebury Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Middlebury, Vermont","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;04: Quality Education;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
"ACR-US-122-2006-113-200602842 to 200604455","8/30/2007","2006","1/1/2006","12/31/2006","1614","Anew Environmental, LLC","11/5/2019 9:53:26 PM","","Environmental Benefit","On behalf of emissions associated with AASHE 2019","ACR122","Romeoville LFG to Energy","Landfill Gas Capture & Combustion","Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion","Version 0","Romeoville","ILLINOIS","US","No","No","No","","","","","","","View",
"ACR-US-464-2012-905-55802 to 64485","10/31/2019 5:57:13 PM","2012","1/1/2012","12/31/2012","8684","1st Climate Solutions DBA Brian R. Anderson, Inc.","11/1/2019 6:47:45 PM","","On Behalf of Third Party","North American Power and Gas, LLC","ACR464","Foam Blowing Agent Project 001H","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Earth City","MISSOURI","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-463-2011-906-743 to 62058","10/31/2019 5:57:23 PM","2011","1/1/2011","12/31/2011","61316","1st Climate Solutions DBA Brian R. Anderson, Inc.","11/1/2019 6:46:14 PM","","On Behalf of Third Party","North American Power and Gas, LLC","ACR463","Foam Blowing Agent Project 001G","Industrial Process Emissions","Transition to Advanced Formulation Blowing Agents in Foam Manufacturing and Use","Version 1.0","Earth City","MISSOURI","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-114-2015-646-778358 to 779831","5/31/2017 8:47:39 PM","2015","1/1/2014","12/31/2015","1474","Arbor Day Foundation","10/28/2019 1:26:38 PM","","On Behalf of Third Party","On Behalf of Third Party","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2015-646-777955 to 778357","5/31/2017 8:47:39 PM","2015","1/1/2014","12/31/2015","403","Arbor Day Foundation","10/28/2019 12:45:59 PM","","On Behalf of Third Party","On Behalf of Third Party","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-375-2018-785-12001 to 47996","11/20/2018 8:29:14 PM","2018","3/17/2017","3/16/2018","35996","The Nature Conservancy","10/24/2019 1:18:17 PM","","On Behalf of Third Party","On behalf of JPMorgan Chase & Co. in connection with employee air travel for 2018","ACR375","Anew - Hawk Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Drehersville, Pennsylvania","PENNSYLVANIA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-375-2019-877-1 to 14004","8/22/2019 8:25:27 PM","2019","3/17/2018","3/16/2019","14004","The Nature Conservancy","10/24/2019 1:13:42 PM","","On Behalf of Third Party","On behalf of JPMorgan Chase & Co. in connection with employee air travel for 2018","ACR375","Anew - Hawk Mountain Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Drehersville, Pennsylvania","PENNSYLVANIA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-386-2018-813-230 to 295","4/3/2019 9:54:19 PM","2018","6/30/2017","6/29/2018","66","Pachama Inc.","10/23/2019 7:19:35 PM","","On Behalf of Third Party","Offsets Georgette Packaging","ACR386","Anew - Hudson Farm Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Andover, New Jersey","NEW JERSEY","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-368-2018-804-270 to 335","2/5/2019 7:15:55 AM","2018","9/26/2017","9/25/2018","66","Pachama Inc.","10/23/2019 7:19:06 PM","","On Behalf of Third Party","Offsets Georgette Packaging","ACR368","Anew - Middlebury Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Middlebury, Vermont","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;04: Quality Education;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
"ACR-US-376-2018-864-231 to 297","7/3/2019 9:30:26 PM","2018","3/17/2017","9/15/2018","67","Pachama Inc.","10/23/2019 7:18:13 PM","","On Behalf of Third Party","Offsets Georgette Packaging","ACR376","Anew - Massachusetts Tri-City Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Hampden and Tolland Counties, Massachusetts","MASSACHUSETTS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2015-646-504213 to 604212","5/31/2017 8:47:39 PM","2015","1/1/2014","12/31/2015","100000","Arbor Day Foundation","10/23/2019 2:51:38 PM","","On Behalf of Third Party","On Behalf of Third Party","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-114-2015-646-777275 to 777354","5/31/2017 8:47:39 PM","2015","1/1/2014","12/31/2015","80","Arbor Day Foundation","10/16/2019 7:40:50 PM","","On Behalf of Third Party","On Behalf of Third Party","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-119-2011-175-213622282 to 213623401","11/16/2011","2011","1/1/2011","4/11/2011","1120","Carbonfund.org","10/16/2019 3:35:34 PM","","Retail Program Requirements","Retired on behalf of Carbonfund.org's partner","ACR119","North Country LFG","Landfill Gas Capture & Combustion","Monitoring, Reporting and Verification Protocol for Landfill Gas Combustion","Version 0","Bethlehem","NEW HAMPSHIRE","US","No","No","No","","","","","","","View",
"ACR-US-212-2018-817-85107 to 91771","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","6665","Carbonfund.org","10/16/2019 3:10:24 PM","","Retail Program Requirements","Retired on behalf of Carbonfund.org's partner","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-212-2018-817-43071 to 56421","4/10/2019 6:14:14 PM","2018","7/28/2014","7/27/2018","13351","Carbonfund.org","10/16/2019 3:09:34 PM","","Retail Program Requirements","Retired on behalf of Carbonfund.org's partner","ACR212","UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.1","70mile radius of Grand Rapids","MINNESOTA","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-114-2014-395-181978 to 181994","8/7/2015 8:46:07 PM","2014","1/1/2014","12/31/2014","17","GreenTrees, LLC","10/7/2019 5:55:49 PM","","On Behalf of Third Party","On Behalf of BCSE","ACR114","GreenTrees ACRE (Advanced Carbon Restored Ecosystem)","Forest Carbon","Afforestation and Reforestation of Degraded Lands","Version 1.0","Mississippi Alluvial Valley","ARKANSAS; ILLINOIS; LOUISIANA; MISSISSIPPI","US","No","No","No","","","","Yes","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.green-trees.com","View",
"ACR-US-368-2018-804-230 to 269","2/5/2019 7:15:55 AM","2018","9/26/2017","9/25/2018","40","Pachama Inc.","10/7/2019 5:31:54 PM","","On Behalf of Third Party","Elias and Jen Wedding","ACR368","Anew - Middlebury Forestry Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.2","Middlebury, Vermont","VERMONT","US","No","No","No","","","","","03: Good Health and Well-Being;04: Quality Education;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;13: Climate Action;15: Life on Land","","View",
